nbCouches;nbNeurones;nbIterations;pasApprentissage;fonction;erreurMoyenne;tempsApprentissage;score
2;[2, 1];50000;0.1;sigmoid;0.50;145;0
2;[2, 1];50000;0.1;tanh;0.54;142;0
3;[2, 2, 1];100000;0.1;sigmoid;0.03;237;4
3;[2, 2, 1];2625;0.1;tanh;0.01;9;4
3;[2, 4, 1];100000;0.1;sigmoid;0.03;235;4
3;[2, 4, 1];2364;0.1;tanh;0.01;12;4
