Algorithme;TailleGraphe;FacteurBranchement;TempsExecution;SolutionTrouvee;CoutSolution
ucs;1000;6;218;true;1372.5556666250986
astar;1000;8;145;true;1278.3465891019036
bfs;1000;8;604;true;1278.3465891019036
dfs;1000;8;747;true;3903.9819008795303
gfs;1000;8;90;true;1803.6302403786171
ucs;1000;8;592;true;1372.5556666250986
astar;2000;2;258;true;4537.908154771705
bfs;2000;2;1837;true;4537.908154771705
dfs;2000;2;886;true;390714.72252937977
gfs;2000;2;150;true;15756.664247933373
ucs;2000;2;561;true;4537.908154771705
astar;2000;4;153;true;1761.4718750062038
bfs;2000;4;7026;true;2800.494150848856
dfs;2000;4;1217;true;233687.8833878827
gfs;2000;4;140;true;9718.423383597012
ucs;2000;4;1322;true;1761.4718750062038
astar;2000;6;459;true;1264.4850009270833
bfs;2000;6;4321;true;1264.4850009270833
dfs;2000;6;2763;true;53766.47262870577
gfs;2000;6;528;true;1571.4985823724696
ucs;2000;6;2882;true;1264.4850009270833
astar;2000;8;1507;true;1264.4850009270833
bfs;2000;8;10448;true;1264.4850009270833
dfs;2000;8;6513;true;43407.22284737834
gfs;2000;8;1657;true;2956.136231988167
ucs;2000;8;5663;true;1264.4850009270833
astar;3000;2;3996;true;5425.957099110463
bfs;3000;2;5606;true;5425.957099110463
dfs;3000;2;5074;true;301860.7542936232
gfs;3000;2;304;true;9572.322865300022
ucs;3000;2;5709;true;5425.957099110463
astar;3000;4;10304;true;2804.399166063191
bfs;3000;4;10501;true;3378.3942031902398
dfs;3000;4;1105;true;179535.93762475712
gfs;3000;4;2183;true;7318.266066050158
ucs;3000;4;9415;true;2547.8328190797474
astar;3000;6;3637;true;1556.6643605117338
bfs;3000;6;5982;true;1556.6643605117338
dfs;3000;6;5718;true;142956.92978637182
gfs;3000;6;4558;true;3157.2918382477505
ucs;3000;6;10471;true;1556.6643605117338
astar;3000;8;7894;true;1556.6643605117338
bfs;3000;8;23534;true;2308.3700600589727
dfs;3000;8;22613;true;5371.585507252799
gfs;3000;8;6970;true;2392.8902679387647
ucs;3000;8;18959;true;1556.6643605117338
astar;4000;2;6260;true;4842.214331892961
bfs;4000;2;2161;true;4842.214331892961
dfs;4000;2;8400;true;556693.9955666203
gfs;4000;2;19487;true;32590.08459185546
ucs;4000;2;11269;true;4842.214331892961
astar;4000;4;36646;true;3699.620260266375
bfs;4000;4;355887;true;2920.6456631487717
dfs;4000;4;29017;true;121132.13085897583
gfs;4000;4;28651;true;6068.76419024105
ucs;4000;4;37794;true;2920.6456631487717
astar;4000;6;39133;true;2667.860762817705
bfs;4000;6;77561;true;2631.458190182162
dfs;4000;6;63163;true;76022.46019534829
gfs;4000;6;51246;true;4335.341934382971
ucs;4000;6;38715;true;2220.0719769070542
astar;4000;8;63051;true;2932.9707358099804
bfs;4000;8;61923;true;2522.5016445824904
dfs;4000;8;19650;true;100795.16399657165
gfs;4000;8;42380;true;3712.836141248123
ucs;4000;8;60779;true;1787.510865177982
astar;5000;2;44548;true;5481.382415954963
bfs;5000;2;46773;true;5177.330899448529
dfs;5000;2;61028;true;509259.03131520806
gfs;5000;2;17110;true;8032.4443443423015
ucs;5000;2;57796;true;5481.382415954963
astar;5000;4;641759;true;1970.2584026151112
bfs;5000;4;127619;true;1970.2584026151112
dfs;5000;4;23630;true;407237.5462208084
gfs;5000;4;76758;true;6111.467676708972
ucs;5000;4;96921;true;1970.2584026151112
astar;5000;6;92942;true;2167.2546023393024
bfs;5000;6;114432;true;2800.587919653817
dfs;5000;6;57889;true;152477.6698037141
gfs;5000;6;53812;true;7959.350733290703
ucs;5000;6;94328;true;2125.218274089577
astar;5000;8;47045;true;1434.475358658428
bfs;5000;8;126898;true;1021.5521476136588
dfs;5000;8;122403;true;4414.5780869738355
gfs;5000;8;56201;true;1434.475358658428
ucs;5000;8;39537;true;1021.5521476136588
astar;6000;2;62329;true;5947.2211349797735
bfs;6000;2;225360;true;5947.2211349797735
dfs;6000;2;144240;true;388058.33694472775
gfs;6000;2;27043;true;19324.719180320637
ucs;6000;2;99971;true;5947.2211349797735
astar;6000;4;201277;true;2217.842984303934
bfs;6000;4;197301;true;3221.104951665731
dfs;6000;4;485468;true;495732.8526169198
gfs;6000;4;13110;true;9105.229908402707
ucs;6000;4;116532;true;2217.842984303934
astar;6000;6;22594;true;1482.9196355971783
bfs;6000;6;215464;true;2325.7939223564294
dfs;6000;6;3429774;true;449647.58167002065
gfs;6000;6;22374;true;3683.5085486035937
ucs;6000;6;169230;true;1859.1740001952212
astar;6000;8;12617;true;1061.5789929844618
bfs;6000;8;293084;true;2258.9983105464858
dfs;6000;8;57677;true;304406.63842688093
gfs;6000;8;461;true;1225.4825271902785
ucs;6000;8;211463;true;1563.3796361272025
