nbCouches;nbNeurones;nbIterations;pasApprentissage;fonction;erreurMoyenne;tempsApprentissage;score
2;[2, 1];10000;0.1;sigmoid;0.04;10;4
2;[2, 1];10000;0.1;tanh;0.29;13;0
2;[2, 1];100000;0.1;sigmoid;0.01;47;4
2;[2, 1];100000;0.1;tanh;0.29;62;0
3;[2, 3, 1];47801;0.1;sigmoid;0.01;53;4
3;[2, 3, 1];1699;0.1;tanh;0.01;8;4
