nbVoisins;score;nbImages;temps
1;765;1000;250
2;765;1000;281
3;771;1000;290
4;779;1000;274
5;780;1000;287
6;784;1000;270
7;784;1000;234
8;779;1000;288
9;777;1000;266
10;769;1000;271
