nbVoisins;score;nbImages;temps
1;750;1000;112
2;773;1000;114
3;789;1000;120
4;800;1000;122
5;788;1000;106
6;793;1000;98
7;780;1000;105
8;777;1000;101
9;779;1000;99
10;771;1000;100
