Jeu;Taille;Streak;Joueur1;Joueur2;Gagnant;TempsExecution;TotalCoups
mnk;3;4;random;minmax;Draw;34;5
mnk;3;4;random;alphabeta;Draw;1;5
mnk;3;4;minmax;random;Draw;295;5
mnk;3;4;minmax;minmax;Draw;320;5
mnk;3;4;minmax;alphabetaJeu;Taille;Streak;Joueur1;Joueur2;Gagnant;TempsExecution;TotalCoups
tictactoe;3;3;random;random;Random;28;5
tictactoe;3;3;random;minmax;Draw;281;5
tictactoe;3;3;random;alphabeta;AlphaBeta;25;3
tictactoe;3;3;minmax;random;MinMax;896;3
tictactoe;3;3;minmax;minmax;Draw;807;5
tictactoe;3;3;minmax;alphabeta;Draw;656;5
tictactoe;3;3;alphabeta;random;AlphaBeta;23;4
tictactoe;3;3;alphabeta;minmax;Draw;105;5
tictactoe;3;3;alphabeta;alphabeta;Draw;32;5
tictactoe;3;4;random;random;Random;1;4
tictactoe;3;4;random;minmax;MinMax;92;4
tictactoe;3;4;random;alphabeta;AlphaBeta;8;4
tictactoe;3;4;minmax;random;MinMax;618;5
tictactoe;3;4;minmax;minmax;Draw;767;5
tictactoe;3;4;minmax;alphabeta;Draw;627;5
tictactoe;3;4;alphabeta;random;AlphaBeta;23;3
tictactoe;3;4;alphabeta;minmax;Draw;122;5
tictactoe;3;4;alphabeta;alphabeta;Draw;35;5
tictactoe;3;5;random;random;Random;1;5
tictactoe;3;5;random;minmax;MinMax;110;4
tictactoe;3;5;random;alphabeta;AlphaBeta;5;3
tictactoe;3;5;minmax;random;MinMax;643;3
tictactoe;3;5;minmax;minmax;Draw;768;5
tictactoe;3;5;minmax;alphabeta;Draw;693;5
tictactoe;3;5;alphabeta;random;AlphaBeta;32;3
tictactoe;3;5;alphabeta;minmax;Draw;98;5
tictactoe;3;5;alphabeta;alphabeta;Draw;35;5
tictactoe;5;3;random;random;Random;1;4
tictactoe;5;3;random;minmax;Draw;90;5
tictactoe;5;3;random;alphabeta;AlphaBeta;7;3
tictactoe;5;3;minmax;random;MinMax;628;3
tictactoe;5;3;minmax;minmax;Draw;709;5
tictactoe;5;3;minmax;alphabeta;Draw;690;5
tictactoe;5;3;alphabeta;random;AlphaBeta;27;3
tictactoe;5;3;alphabeta;minmax;Draw;113;5
tictactoe;5;3;alphabeta;alphabeta;Draw;25;5
tictactoe;5;4;random;random;Random;0;4
tictactoe;5;4;random;minmax;MinMax;81;4
tictactoe;5;4;random;alphabeta;Draw;6;5
tictactoe;5;4;minmax;random;MinMax;608;3
tictactoe;5;4;minmax;minmax;Draw;654;5
tictactoe;5;4;minmax;alphabeta;Draw;574;5
tictactoe;5;4;alphabeta;random;AlphaBeta;24;3
tictactoe;5;4;alphabeta;minmax;Draw;97;5
tictactoe;5;4;alphabeta;alphabeta;Draw;22;5
tictactoe;5;5;random;random;Random;1;4
tictactoe;5;5;random;minmax;MinMax;72;3
tictactoe;5;5;random;alphabeta;AlphaBeta;6;4
tictactoe;5;5;minmax;random;MinMax;598;4
tictactoe;5;5;minmax;minmax;Draw;689;5
tictactoe;5;5;minmax;alphabeta;Draw;587;5
tictactoe;5;5;alphabeta;random;AlphaBeta;22;3
tictactoe;5;5;alphabeta;minmax;Draw;91;5
tictactoe;5;5;alphabeta;alphabeta;Draw;24;5
tictactoe;7;3;random;random;Random;0;4
tictactoe;7;3;random;minmax;MinMax;85;4
tictactoe;7;3;random;alphabeta;AlphaBeta;3;3
tictactoe;7;3;minmax;random;MinMax;628;4
tictactoe;7;3;minmax;minmax;Draw;655;5
tictactoe;7;3;minmax;alphabeta;Draw;563;5
tictactoe;7;3;alphabeta;random;AlphaBeta;20;3
tictactoe;7;3;alphabeta;minmax;Draw;87;5
tictactoe;7;3;alphabeta;alphabeta;Draw;25;5
tictactoe;7;4;random;random;Random;0;4
tictactoe;7;4;random;minmax;Draw;67;5
tictactoe;7;4;random;alphabeta;Draw;4;5
tictactoe;7;4;minmax;random;MinMax;571;3
tictactoe;7;4;minmax;minmax;Draw;642;5
tictactoe;7;4;minmax;alphabeta;Draw;572;5
tictactoe;7;4;alphabeta;random;AlphaBeta;20;3
tictactoe;7;4;alphabeta;minmax;Draw;102;5
tictactoe;7;4;alphabeta;alphabeta;Draw;24;5
tictactoe;7;5;random;random;Draw;1;5
tictactoe;7;5;random;minmax;MinMax;77;3
tictactoe;7;5;random;alphabeta;AlphaBeta;4;4
tictactoe;7;5;minmax;random;MinMax;598;4
tictactoe;7;5;minmax;minmax;Draw;654;5
tictactoe;7;5;minmax;alphabeta;Draw;602;5
tictactoe;7;5;alphabeta;random;AlphaBeta;20;4
tictactoe;7;5;alphabeta;minmax;Draw;94;5
tictactoe;7;5;alphabeta;alphabeta;Draw;29;5
tictactoe;10;3;random;random;Random;0;4
tictactoe;10;3;random;minmax;MinMax;68;4
tictactoe;10;3;random;alphabeta;AlphaBeta;4;3
tictactoe;10;3;minmax;random;MinMax;575;3
tictactoe;10;3;minmax;minmax;Draw;628;5
tictactoe;10;3;minmax;alphabeta;Draw;573;5
tictactoe;10;3;alphabeta;random;AlphaBeta;21;3
tictactoe;10;3;alphabeta;minmax;Draw;101;5
tictactoe;10;3;alphabeta;alphabeta;Draw;30;5
tictactoe;10;4;random;random;Random;1;5
